72,24,106,198
59,10,165,166
66,17,114,203
68,19,138,175
78,20,109,193
71,7,78,244
60,16,85,239
70,22,83,225
73,14,122,191
81,21,98,200
50,5,127,218
64,15,117,204
71,21,117,191
66,17,115,202
74,25,92,209
54,9,112,225
75,27,102,196
57,9,110,224
55,6,132,207
66,15,103,216
50,10,134,206
67,21,102,210
67,19,93,221
59,15,67,259
73,14,70,243
54,9,90,247
71,24,97,208
62,15,110,213
65,24,121,190
65,24,122,189
71,18,140,171
77,14,113,196
58,12,116,214
53,10,158,179
61,13,137,189
63,20,130,187
56,14,144,186
55,22,131,192
62,17,131,190
65,25,140,170
63,16,131,190
60,14,151,175
71,20,133,176
70,23,155,152
54,20,112,214
57,16,170,157
51,10,132,207
61,17,167,155
63,18,119,200
47,12,144,197
46,7,151,196
64,15,157,164
51,13,182,154
58,22,150,170
57,25,150,168
69,16,165,150
60,30,109,201
64,21,137,178
72,20,113,195
67,24,124,185
61,23,120,196
64,17,115,204
67,20,121,192
72,31,123,174
65,30,116,189
60,12,141,187
64,19,124,193
73,31,119,177
74,23,122,181
58,33,135,174
64,36,124,176
47,23,103,227
63,30,99,208
67,45,97,191
70,33,120,177
71,32,116,181
68,34,122,176
73,27,115,185
51,30,125,194
57,23,141,179
67,30,142,161
63,24,106,207
62,17,116,205
58,19,125,198
64,17,126,193
59,22,112,207
57,25,131,187
64,28,125,183
64,16,154,166
63,13,166,158
60,22,179,139
58,18,156,168
58,14,119,209
54,10,171,165
74,17,171,138
57,21,147,175
73,26,115,186
65,20,125,190
57,32,112,199
63,21,124,192
58,10,137,195
57,16,139,188
70,25,121,184
57,13,125,205
56,12,160,172
54,18,133,195
59,21,181,139
75,29,116,180
65,24,85,226
76,35,121,168
64,26,118,192
79,29,113,179
63,22,136,179
59,24,97,220
62,15,147,176
53,12,133,202
56,23,167,154
66,19,132,183
82,28,127,163
63,38,121,178
81,30,127,162
81,37,110,172
56,16,148,180
58,16,149,177
50,13,159,178
69,41,121,169
65,35,111,189
64,32,115,189
62,23,133,182
63,43,97,197
58,31,105,206
67,25,123,185
68,25,143,164
67,28,133,172
57,26,132,185
53,17,167,163
54,22,122,202
56,6,134,204
65,24,143,168
53,24,145,178
58,15,130,197
63,24,135,178
48,11,159,182
58,26,127,189
50,27,138,185
61,16,138,185
76,20,135,169
66,20,102,212
66,18,113,203
71,30,116,183
63,17,109,211
52,21,129,198
71,41,116,172
73,28,121,178
68,22,172,138
55,16,135,194
65,28,159,148
59,23,104,214
73,40,82,205
74,11,126,189
65,12,90,233
70,8,128,194
69,24,131,176
70,33,96,201
64,26,107,203
64,24,96,216
69,36,112,183
86,17,117,180
60,21,80,239
72,34,89,205
68,21,80,231
71,14,124,191
72,17,138,173
55,8,139,198
56,12,127,205
45,4,125,226
53,11,105,231
58,14,118,210
55,13,115,217
63,25,112,200
57,17,126,200
69,10,126,195
61,7,124,208
74,16,157,153
75,31,76,218
56,15,128,201
63,10,121,206
64,19,124,193
51,8,134,207
49,15,156,180
63,18,149,170
59,25,112,204
55,13,69,263
62,18,112,208
69,19,85,227
56,18,115,211
54,17,120,209
55,15,129,201
64,20,136,180
64,42,86,208
57,17,116,210
64,14,113,209
65,16,100,219
63,16,89,232
64,23,76,237
65,29,115,191
66,20,107,207
54,26,138,182
67,22,92,219
73,23,92,212
79,32,94,195
59,14,120,207
72,17,102,209
68,18,56,258
70,17,94,219
60,21,82,237
73,25,99,203
76,28,134,162
59,16,141,184
74,34,84,208
74,23,102,201
66,24,134,176
69,24,134,173
73,16,108,203
63,20,115,202
90,30,109,171
69,35,96,200
60,14,100,226
49,8,140,203
58,11,136,195
68,21,132,179
75,26,145,154
76,34,89,201
83,44,81,192
68,47,104,181
71,50,42,237
84,31,60,225
65,27,103,205
69,19,117,195
64,16,125,195
58,15,123,204
68,23,117,192
55,13,113,219
62,23,129,186
86,25,128,161
73,25,120,182
67,25,129,179
75,21,127,177
65,17,121,197
78,24,89,209
54,18,95,233
69,20,133,178
60,24,104,212
73,29,92,206
56,15,119,210
62,19,150,169
69,18,144,169
79,11,151,159
81,32,140,147
84,39,90,187
70,37,79,214
66,10,90,234
55,9,139,197
66,12,140,182
52,17,158,173
72,35,169,124
72,26,174,128
56,20,176,148
58,20,161,161
61,21,153,165
54,12,165,169
66,31,150,153
66,19,148,167
66,22,162,150
61,22,143,174
68,22,121,189
61,19,153,167
61,19,144,176
59,10,111,220
57,35,122,186
66,30,128,176
68,31,108,193
57,21,119,203
60,22,124,194
63,21,148,168
61,21,125,193
65,22,153,160
49,22,170,159
50,21,182,147
60,21,156,163
58,28,134,180
64,25,136,175
54,12,156,178
68,23,130,179
80,39,132,149
63,22,123,192
51,17,147,185
55,23,130,192
62,22,128,188
59,28,137,176
58,30,112,200
64,21,138,177
63,21,135,181
55,26,123,196
67,27,143,163
61,15,145,179
55,19,160,166
65,20,163,152
71,22,169,138
58,21,130,191
52,26,118,204
57,30,153,160
57,21,144,178
68,29,165,138
68,29,132,171
72,27,134,167
61,22,125,192
61,29,130,180
62,22,139,177
69,18,169,144
72,16,143,169
58,23,166,153
72,35,123,170
58,16,95,231
73,24,132,171
69,30,136,165
51,22,106,221
75,28,115,182
64,18,108,210
58,18,127,197
76,18,177,129
79,26,186,109
70,15,172,143
80,36,129,155
79,27,121,173
67,34,135,164
66,29,114,191
73,27,99,201
74,24,128,174
66,25,139,170
65,22,106,207
74,30,145,151
