40,64,16,53,34,43,48,60,35,60,31,48,49,42,60,36,34,22,52,20
34,72,18,38,41,42,68,60,47,44,32,40,36,36,60,40,31,32,60,31
27,64,19,41,37,23,44,60,46,40,30,68,39,27,60,37,31,22,64,49
33,52,25,42,38,36,60,60,49,56,43,60,38,23,60,38,43,34,44,24
48,68,20,31,31,43,48,60,37,52,45,80,34,24,60,27,41,43,56,30
27,64,18,37,30,27,48,60,33,44,57,60,31,35,60,31,44,39,56,42
28,52,7,44,44,45,44,60,30,56,35,56,46,52,60,43,28,21,64,36
46,64,18,48,28,34,52,60,36,56,31,48,26,39,60,35,30,24,68,19
40,40,27,35,38,25,36,60,39,56,47,48,40,43,60,30,38,55,56,31
36,64,46,34,45,58,56,60,42,40,31,60,32,27,60,28,26,25,60,28
47,52,33,25,48,19,56,60,34,52,47,60,29,35,60,34,25,37,52,22
47,52,18,35,39,35,40,60,52,60,32,56,25,28,60,34,28,38,52,23
36,64,31,58,32,27,52,60,26,40,31,44,39,34,60,45,46,36,56,26
36,48,38,36,37,26,68,60,60,56,34,72,23,34,60,32,13,15,60,39
48,68,28,39,30,35,24,60,22,52,45,56,33,28,60,30,34,33,72,29
49,44,34,19,32,54,56,60,38,52,30,72,31,33,60,28,29,11,48,42
41,44,26,39,42,56,40,60,38,64,45,56,12,36,60,37,17,31,48,35
17,48,31,45,22,52,52,60,39,48,33,80,6,22,60,41,33,30,52,28
39,40,17,43,37,48,40,60,44,48,36,56,16,28,60,32,45,21,40,43
39,44,27,32,35,36,28,60,26,56,44,44,34,27,60,35,24,32,60,40
20,48,29,35,40,60,20,60,41,40,31,48,31,38,60,41,30,50,52,27
36,32,9,38,35,60,28,60,39,36,29,80,34,31,60,26,33,25,56,24
27,40,29,24,35,48,40,60,32,40,50,52,46,28,60,40,26,18,64,26
31,52,23,46,26,40,52,60,30,52,39,56,17,27,60,53,32,40,36,38
31,40,20,39,34,48,44,60,41,44,31,48,25,19,60,43,17,24,60,35
41,40,28,41,46,52,24,60,29,32,30,32,43,23,60,33,42,45,44,25
30,52,34,38,38,48,52,60,22,40,32,36,22,33,60,34,44,21,36,32
37,52,30,33,26,44,36,60,41,52,33,36,24,25,60,34,40,27,64,43
45,32,21,34,21,44,48,60,40,44,30,48,27,16,60,31,48,29,52,29
31,36,27,39,21,44,40,60,39,36,44,36,29,31,60,34,44,26,32,51
35,56,30,35,32,44,48,60,33,56,40,40,24,19,60,34,44,25,36,33
24,48,39,42,36,48,40,60,28,24,45,40,27,27,60,47,44,34,32,18
20,52,25,43,36,44,36,60,44,40,44,60,34,23,60,35,48,24,44,32
33,44,20,21,21,55,24,60,45,60,37,52,28,36,60,43,60,22,52,25
24,40,20,39,26,56,52,60,45,36,29,44,21,17,60,46,44,46,44,30
18,48,22,43,25,44,32,60,44,40,24,56,33,29,60,33,44,37,64,32
3,56,30,37,39,52,48,60,41,48,24,52,33,21,60,38,36,44,48,24
25,56,14,39,24,36,36,60,35,52,36,32,24,28,60,36,48,28,48,24
22,44,27,41,30,40,32,60,39,48,37,56,22,24,60,32,60,38,36,29
40,28,37,40,25,52,36,60,28,44,36,48,19,19,60,51,40,32,40,27
37,32,30,24,32,40,36,60,22,48,34,36,40,22,60,35,36,38,44,35
22,56,15,22,29,56,56,60,36,52,26,44,39,13,60,48,48,17,40,12
39,44,14,37,47,52,64,60,28,44,36,40,34,9,60,27,48,29,40,13
35,40,21,36,40,40,48,60,44,52,30,60,19,34,60,21,44,19,36,30
24,36,38,32,33,44,40,60,36,28,30,56,32,31,60,42,32,46,28,15
28,28,27,39,35,32,44,60,24,44,42,44,46,28,60,27,36,44,44,20
29,40,33,48,33,59,28,60,22,48,40,40,21,27,60,28,36,26,36,15
26,48,33,39,27,24,40,60,28,32,38,36,25,33,60,34,48,31,44,10
32,48,25,33,38,33,36,60,41,36,30,52,39,37,60,25,40,18,32,26
20,40,38,34,27,39,20,60,25,28,39,64,48,34,60,31,40,16,60,26
31,28,27,28,35,43,32,60,33,64,41,32,36,18,60,23,40,31,60,27
32,48,36,28,29,42,43,60,30,40,36,40,32,32,60,33,36,21,36,15
33,36,22,40,29,43,44,60,30,32,29,36,48,23,60,30,48,28,36,33
43,40,29,29,35,40,44,60,28,36,23,32,40,22,60,22,36,29,32,34
33,36,29,24,21,42,96,60,26,28,31,28,32,20,60,34,36,39,48,0
27,36,10,37,25,40,36,60,29,52,32,44,48,44,60,23,32,18,32,31
44,36,20,32,25,52,36,60,27,32,33,48,44,18,60,33,36,13,52,19
41,36,27,26,24,20,28,60,32,44,32,44,52,40,60,33,36,26,44,30
32,20,22,33,27,38,36,60,32,48,29,36,24,35,60,37,28,36,28,32
27,28,21,33,22,34,40,60,30,40,36,28,24,29,60,40,37,35,40,32
