70,20,17,93
74,19,25,82
81,16,30,73
83,23,19,75
79,32,22,67
86,28,21,65
77,18,21,84
72,21,19,88
68,17,18,97
65,17,12,106
62,13,18,107
67,15,24,94
68,14,13,105
68,17,15,100
72,15,29,84
70,10,20,100
73,20,15,92
69,18,20,93
68,7,11,114
70,21,16,93
72,10,19,99
65,4,20,111
69,23,28,80
65,8,17,110
78,19,18,85
73,17,24,86
71,12,14,103
74,15,20,91
80,26,25,69
83,19,23,75
79,20,21,80
73,18,15,94
63,17,14,106
77,29,27,67
67,18,21,94
93,24,27,56
80,42,25,53
78,18,21,83
74,22,27,77
73,15,24,88
72,28,19,81
68,16,26,90
72,24,22,82
76,31,29,64
79,21,23,77
84,9,28,79
62,30,15,93
68,16,16,100
64,19,22,95
66,17,25,92
77,28,19,76
71,20,20,89
72,19,18,91
71,17,15,97
76,19,18,87
72,14,10,104
77,26,19,78
78,31,24,67
79,29,25,67
81,22,29,68
86,24,31,59
86,25,22,67
85,30,27,58
83,27,21,69
79,36,20,65
83,26,20,71
85,34,27,54
71,31,24,74
69,22,23,86
60,11,12,117
69,16,15,100
60,14,16,110
67,20,29,84
72,18,25,85
75,15,20,90
71,17,8,104
73,24,14,89
71,17,22,90
71,13,14,102
68,17,19,96
61,8,15,116
75,16,27,82
82,32,21,65
67,22,23,88
71,21,19,89
69,18,12,101
72,20,25,83
75,20,21,84
77,14,20,89
81,27,25,67
75,31,24,70
71,14,26,89
67,17,29,87
79,24,25,72
82,24,25,69
77,20,22,81
82,25,27,66
79,25,36,60
82,29,23,66
82,23,32,63
88,25,26,61
76,27,27,70
77,20,23,80
84,15,23,78
75,22,29,74
80,18,20,82
77,23,19,81
75,22,20,83
72,20,19,89
81,31,21,67
75,22,23,80
76,25,21,78
77,26,19,78
79,20,18,83
85,21,35,59
75,12,20,93
71,20,26,83
74,23,26,77
74,34,21,71
65,20,17,98
63,15,28,94
65,10,14,111
71,18,24,87
75,11,26,88
71,17,17,95
75,14,21,90
75,19,21,85
77,20,15,88
80,18,28,74
88,28,35,49
75,33,12,80
81,21,23,75
66,15,28,91
76,29,29,66
73,24,17,86
75,21,34,70
71,32,18,79
69,23,19,89
70,14,18,98
61,9,8,122
75,16,37,72
69,19,28,84
71,19,14,96
70,15,28,87
76,17,18,89
73,30,19,78
82,32,17,69
73,34,27,66
88,9,20,83
74,20,17,89
64,27,15,94
67,18,14,101
77,18,31,74
81,25,20,74
78,21,36,65
79,19,22,80
76,19,25,80
64,21,13,102
63,8,13,116
81,21,23,75
85,32,25,58
98,35,26,41
91,26,34,49
